,,,,,,,,,,,,
,,,,,,,,,,,,
,Date,,Lesson,,Concepts,Textbook,,,,Technology,Engineering,Application
1,Mon,08-20,Lesson01,Core,Architecture,Chapter 1: pages 1-21,,,,PHP Server,Digital Ocean,Profile Page
,Wed,08-22,Lesson02,,Forms,Chapter 2: pages 46-66,,,,Extended HTML,Github Account,Add CSS
,Fri,08-24,Lesson03,,Sample Apps,Chapter 2: pages 68-88,,,,Design Patterns,,Exercises Page
2,Mon,08-27,Lesson04,,SQL Basics,Chapter 3: pages 96-122,,,,CSS/HTML,,Styled Pages
,Wed,08-29,Lesson05,,Get & Post,Chapter 4: pages 126-146,,,,Render View,Display Table,Exercises Index
,Fri,08-31,Lesson06,,MVC Pattern,Chapter 5: pages 148-168,,,,File Includes,Dev Loop Workflow,Shared Menu
3,Mon,09-03,,,Labor Day,,,,,Labor Day,,
,Wed,09-05,Lesson07,,App Structure,Chapter 5: pages 170-188,,,,Read/Write Files,Automated Deploy,File Browser
,Fri,09-07,Lesson08,,Workflow,Chapter 1: pages 24-44,,,,File Browser App,Automated Test,Notes Browser
4,Mon,09-10,Lesson09,,Debug & Test,Chapter 6: pages 192-204,,,,Text Transform,Design Review,Markdown Docs
,Wed,09-12,Lesson10,Views,Form Data,Chapter 7: pages 210-230,,,,View Inheritance,Automation,To Do List
,Fri,09-14,Lesson11,,PHP Statements,Chapter 8: pages 234-258,,,,HTML for Forms,,Add New Notes
5,Mon,09-17,Lesson12,,Variable types,Chapter 9: pages 262-290,,,,Input Controls,,Complex Form
,Wed,09-19,Lesson13,,Arrays,Chapter 11: pages 314-346,,,,Post/Get Operations,,File Update
,Fri,09-21,,,Exam1,,,,,Exam1,,
6,Mon,09-24,Lesson14,,Cookies & Sessions,Chapter 12: pages 350-378,,,,List/Details View,Pair Programming,To Do Viewer
,Wed,09-26,Lesson15,,Functions,Chapter 13: pages 382-414,,,,Add/Edit View,,To Do Editor
,Fri,09-28,Lesson16,,Objects,Chapter 14: pages 418-462,,,,Delete View,,To Do Delete
7,Mon,10-01,Lesson17,,Regex,Chapter 15: pages 466-480,,,,jQuery,Project Planning,Smart Google Search
,Wed,10-03,Lesson18,,Exceptions,Chapter 15: pages 482-486,,,,Data Validation,,To Do Validator
,Fri,10-05,Lesson19,,Users,Chapter 15: pages 488-504,,,,JS Controls,,Fancy Controls – TBD
8,Mon,10-08,Lesson20,Data,Database design,Chapter 16: pages 510-524,,,,MySQL,Project Tracking,Manual DB Manipulation
,Wed,10-10,Lesson21,,Create database,Chapter 16: pages 536-540,,,,Database Connect,,DB Connect
,Fri,10-12,Lesson22,,SQL Queries,Chapter 17: pages 544-558,,,,Database Query,,"Views (list, read)"
9,Mon,10-15,Lesson23,,CRUD,Chapter 17: pages 560-578,,,,CRUD,Issue Tracking,"Views (add, edit, delete)"
,Wed,10-17,Lesson24,,List & Detail,Chapter 18: pages 582-600,,,,Data Operations,,Music Manager
,Fri,10-19,Lesson25,,Web apps,Chapter 20: pages 602-616,,,,Data Design,,Artist / Album / Track
10,Mon,10-22,Lesson26,,Email,Chapter 22: pages 724-740,,,,Joining Tables,,Music Manager
,Wed,10-24,Lesson27,,Files and images,Chapter 23: pages 744-776,,,,Reusable Patterns,Software Patterns,Code Templates
,Fri,10-26,,,Exam2,,,,,Exam2,,
11,Mon,10-29,Lesson28,,eCommerce,Chapter 24: pages 780-798,,,,User Registration,User Stories,User Registration  
,Wed,10-31,Lesson29,,Client/Server,,,,,User Login/Security,,User Login
,Fri,11-02,Lesson30,JavaScript,Three-tier Architecture,,,,,Forms App,,To Do List App
12,Mon,11-05,Lesson31,,JavaScript,,,,,Notes App,Customer Feedback,Brain App
,Wed,11-07,Lesson32,,jQuery,,,,,Wiki App,,Wiki  App
,Fri,11-09,Lesson33,,REST,,,,,Social Network App,,Twitter  App
13,Mon,11-12,Lesson34,,Standard Views,,,,,Photo App,Usability,Photos
,Wed,11-14,Lesson35,,User Registration,,,,,Export,,Export
,Fri,11-16,Lesson36,,External Libraries,,,,,Import,,Import
14,Mon,11-19,Lesson37,,Automated Testing,,,,,Version Control,,Doc Commit
,Wed,11-21,,,Thanksgiving,,,,,Thanksgiving,,
,Fri,11-23,,,Thanksgiving,,,,,Thanksgiving,,
15,Mon,11-26,Lesson38,,Import/Export,,,,,CSV Data,Client/Server ,Spreadsheets
,Wed,11-28,Lesson39,,Best Practice,,,,,REST,,Microservices
,Fri,11-30,Lesson40,,Business Opportunity,,,,,Wrapup,,
,Mon,12-03,,,Exam3,,,,,Exam3,,
