Mon,08-20,Lesson1,1
Wed,08-22,Lesson2,
Fri,08-24,Lesson3,
Mon,08-27,Lesson4,2
Wed,08-29,Lesson5,
Fri,08-31,Lesson6,
Mon,09-03,Labor Day,3
Wed,09-05,Lesson7,
Fri,09-07,Lesson8,
Mon,09-10,Lesson9,4
Wed,09-12,Lesson10,
Fri,09-14,Lesson11,
Mon,09-17,Lesson12,5
Wed,09-19,Lesson13,
Fri,09-21,Exam1,
Mon,09-24,Lesson14,6
Wed,09-26,Lesson15,
Fri,09-28,Lesson16,
Mon,10-01,Lesson17,7
Wed,10-03,Lesson18,
Fri,10-05,Lesson19,
Mon,10-08,Lesson20,8
Wed,10-10,Lesson21,
Fri,10-12,Lesson22,
Mon,10-15,Lesson23,9
Wed,10-17,Lesson24,
Fri,10-19,Lesson25,
Mon,10-22,Lesson26,10
Wed,10-24,Lesson27,
Fri,10-26,Exam2,
Mon,10-29,Lesson28,11
Wed,10-31,Lesson29,
Fri,11-02,Lesson30,
Mon,11-05,Lesson31,12
Wed,11-07,Lesson32,
Fri,11-09,Lesson33,
Mon,11-12,Lesson34,13
Wed,11-14,Lesson35,
Fri,11-16,Lesson36,
Mon,11-19,Lesson37,14
Wed,11-21,Thanksgiving,
Fri,11-23,Thanksgiving,
Mon,11-26,Lesson38,15
Wed,11-28,Lesson39,
Fri,11-30,Lesson40,
Mon,12-03,Exam3,
